image,dilution,dilution_label,n_tiles,mean_density_threshold_0.2,median_density_threshold_0.2,std_density_threshold_0.2,mean_density_threshold_0.5,median_density_threshold_0.5,std_density_threshold_0.5,mean_density_threshold_0.8,median_density_threshold_0.8,std_density_threshold_0.8,mean_density_clahe_otsu_pred,median_density_clahe_otsu_pred,std_density_clahe_otsu_pred,mean_density_clahe_otsu_orig,median_density_clahe_otsu_orig,std_density_clahe_otsu_orig
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,28,0.04215322,0.036123276,0.0150302015,0.0129647935,0.013017654,0.0015254939,0.0011420931,0.0012283325,0.00048785316,0.9465832029070173,0.9618568420410156,0.037534622679907065,0.11829021998814174,0.032032012939453125,0.12806332107522195
10x_2025-05-15_02-05-00.tif,10,10x,28,0.958919,0.9586563,0.0085150935,0.8352604,0.84261894,0.031822484,0.44332477,0.43979454,0.07834644,0.3870492662702288,0.38232994079589844,0.023516673156623064,0.6465283802577427,0.6515388488769531,0.023691163561718007
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,28,0.06042031,0.05096054,0.025076019,0.017676217,0.017326355,0.0038368825,0.0011971338,0.0011558533,0.00048422348,0.9317519324166434,0.9482192993164062,0.038235942186004984,0.06519440242222377,0.03979301452636719,0.061501443090583606
160x_2025-05-15_02-05-00.tif,160,160x,28,0.6271146,0.6114998,0.050713543,0.28088024,0.2661152,0.059188183,0.06348447,0.056375504,0.02178736,0.5538785117013114,0.5543365478515625,0.021666376400384917,0.3147130693708147,0.30344390869140625,0.03668772482499694
20x_2025-05-15_02-05-00.tif,20,20x,28,0.8987485,0.9011116,0.018773325,0.7833045,0.78868866,0.02602212,0.5166306,0.5367832,0.07018393,0.39608832768031527,0.3910179138183594,0.02932092436100604,0.5556719643729073,0.5551242828369141,0.01391040243593933
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,28,0.011620249,0.009145737,0.007303783,0.0029227394,0.002872467,0.00089124154,0.00026920863,0.0002746582,0.00015550727,0.7425727844238281,0.7285842895507812,0.09460075262214712,0.4375268391200474,0.44964599609375,0.06063389406538405
320x_2025-05-15_02-05-00.tif,320,320x,28,0.30074963,0.2963848,0.048799872,0.09717887,0.091594696,0.021321712,0.011829649,0.009428024,0.0071071708,0.7391203471592495,0.7348136901855469,0.026705842988800254,0.17513860974993026,0.16143035888671875,0.041329234810654904
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,28,0.027414868,0.020137787,0.0173982,0.0060338974,0.005712509,0.0018562147,0.00038760048,0.0004043579,0.00016832553,0.890333720615932,0.9246253967285156,0.08843879715185751,0.38560363224574495,0.3924903869628906,0.050934849838727224
640x_2025-05-16_00-59-00_002.tif,640,640x,28,0.14904213,0.121011734,0.06677269,0.047064237,0.041971207,0.01710155,0.00302342,0.002008438,0.0028099937,0.8581799098423549,0.8712368011474609,0.04949817567535566,0.10459068843296596,0.09724998474121094,0.026055760056356958
80x_2_2025-05-22_14-48-00.tif,80,80x,28,0.8153425,0.8142586,0.043188136,0.55119896,0.549057,0.04015844,0.25046661,0.24932289,0.04428559,0.49504893166678293,0.49619293212890625,0.005303472506162554,0.4441615513392857,0.4429283142089844,0.006753246648845572
