image,dilution,dilution_label,n_tiles,mean_density,median_density,std_density,min_density,max_density
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,28,0.0129647935,0.013017654,0.0015254939,0.009399414,0.016693115
10x_2025-05-15_02-05-00.tif,10,10x,28,0.83525974,0.8426151,0.03182275,0.77788544,0.8745537
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,28,0.017676353,0.017326355,0.0038368423,0.012031555,0.02532959
160x_2025-05-15_02-05-00.tif,160,160x,28,0.2808804,0.2661171,0.059188582,0.21327591,0.43458176
20x_2025-05-15_02-05-00.tif,20,20x,28,0.7833041,0.78868675,0.026021915,0.7160988,0.8202095
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,28,0.0029227394,0.002872467,0.00089124154,0.0012130737,0.0055236816
320x_2025-05-15_02-05-00.tif,320,320x,28,0.09717859,0.091594696,0.021321783,0.06952667,0.17082596
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,28,0.0060338974,0.005712509,0.0018562147,0.0028800964,0.011577606
640x_2025-05-16_00-59-00_002.tif,640,640x,28,0.04706437,0.041971207,0.01710148,0.025585175,0.08602905
80x_2_2025-05-22_14-48-00.tif,80,80x,28,0.55119896,0.5490551,0.040157575,0.48913193,0.62789917
